dst	src
400084	300028
400794	400440
400987	401001
400321	400846
402006	401100
400965	400525
400775	400881
400750	400992
400195	401565
300019	400241
400744	300106
300101	400279
400347	400705
400449	300004
400986	300062
400324	400084
400051	400261
400744	300025
300071	400320
400892	401976
300005	400640
300071	400335
401606	400406
401598	400411
400335	400581
400779	400648
401691	400889
401877	401971
400517	400889
401616	400589
402109	300227
400156	400372
402001	400708
401875	400354
400243	400608
400035	300117
400963	400899
400002	401995
400881	400703
400774	400834
300012	400731
400739	400997
300101	400583
401571	401924
400577	400631
400408	300010
400051	400609
400372	401994
300065	401872
400888	400480
400476	400536
400639	400990
401991	401596
401734	401609
400776	300127
401612	300035
300180	400872
300072	300087
401700	400271
400710	400589
300078	400847
400517	400643
400891	400887
401654	400593
400459	401653
401992	401654
400642	400637
300079	400341
300059	400051
401993	400126
400449	401734
400079	300020
400615	400710
401614	400705
400880	400416
300206	400845
400489	400012
400639	400630
400736	401972
400362	400466
400780	300060
400445	400885
400735	400595
401864	300086
401966	400100
400386	400108
400009	401872
400476	401653
400989	400991
400842	400002
400344	400752
300153	300064
401598	401993
400359	400589
400108	400644
400460	300026
400595	400785
400343	300020
400567	300020
400346	400179
401578	300126
300036	400707
400588	400740
400639	400545
400615	400640
400884	400272
300011	300153
400631	401567
300180	401690
300055	401875
400775	400748
400348	401595
300049	400354
400566	400835
300105	400785
401877	400235
400964	300064
400870	401722
400782	300259
400967	400987
400559	300047
400965	300029
400869	400991
300071	300061
401863	401868
400787	400630
400340	300088
300035	400986
400119	300208
400547	400747
400181	400040
401989	300029
400322	300126
400620	400587
401654	300118
400146	400409
400511	400281
400110	401577
400158	300085
300083	400788
400306	401868
400832	400125
300153	400127
401993	400541
400894	400990
400537	400226
400238	300230
400323	400271
400242	400081
401215	400319
400361	400645
400986	400237
401964	400445
400456	401101
400574	400852
400687	400194
400332	401562
300030	300048
402109	401576
400482	400064
300070	401995
300036	400121
401924	400593
401117	400271
400391	400211
400516	400109
400780	400837
400075	400881
401174	400624
300053	401596
400773	401595
400649	401466
300117	400194
400449	401999
400609	400780
401001	401873
400084	400422
400639	300106
400536	400346
401605	400406
300032	401021
300075	300141
300024	400903
401616	400445
400710	400459
300030	300049
400156	400701
400482	401609
400051	400259
400628	401564
400772	300259
401652	401614
400460	300068
400472	400099
400340	300004
400007	401971
300016	400194
300130	400349
401577	400508
400460	400318
400013	300183
402001	300019
401616	400885
400575	300208
400511	400508
400179	401864
401573	300232
300018	400986
400648	400587
400158	400148
401974	300104
400884	400991
401968	400565
402006	401872
400636	400896
400631	300106
400469	400481
300194	400620
400359	400197
400179	401605
400752	400700
400840	300153
300012	401704
300194	300084
400346	300087
300027	300045
400209	300004
400615	401996
400775	400121
401215	400084
400899	400084
300054	300057
400981	400259
401734	400782
400459	400584
400453	401868
401691	400375
400577	400728
400888	300036
400416	401214
400752	400347
400902	400836
401734	401997
400075	400776
300078	400701
400986	401553
401992	401704
300061	401608
300059	400587
400033	400135
401602	400963
401922	400262
400386	400567
401993	400263
300105	400320
401553	400284
400750	400540
400536	401921
400964	400195
400371	400990
401570	300041
401970	400649
400699	400478
400595	401560
401997	400483
300040	400466
300076	400335
400745	400701
300148	401605
300033	400577
400015	400371
400209	300127
400081	401564
400896	300023
400263	400991
401733	401611
400785	400701
400051	300036
400324	401923
300017	400742
300039	300091
400263	300209
400573	400774
400212	400399
400471	400179
400286	401689
400776	300060
401571	400835
401604	400362
400357	400014
400347	400835
401968	400413
300070	400386
400601	400467
401653	300004
300101	401615
400895	300033
400836	401609
400594	300027
400618	400399
401977	400585
401868	300026
300086	400621
401602	400984
400594	400984
400237	400211
400473	400845
400033	401606
401873	300027
300208	400622
400772	400422
300015	400374
400372	400392
400374	300048
401924	300048
400454	401564
401993	300078
400836	400887
300118	400279
400156	400743
402110	401697
400361	400365
