id	cluster
400232	4
400903	4
401560	4
401624	4
401689	4
401037	4
300127	4
401562	4
400211	4
300259	4
400014	4
401607	4
400399	4
300125	4
400637	4
400012	4
401609	4
400234	4
300123	4
400703	4
300230	4
400273	4
300091	4
400196	4
401527	4
400589	4
400701	4
400481	4
400271	4
400194	4
400707	4
400990	4
400901	4
400483	4
401669	4
400996	4
400638	4
400705	4
400446	4
400409	4
401567	4
401466	4
300121	4
400587	4
400440	4
300022	4
400872	4
400355	4
300232	4
300020	4
400541	4
400630	4
300093	4
401596	4
401525	4
400357	4
300026	4
400040	4
400406	4
300141	4
400259	4
400994	4
400889	4
401876	4
401605	4
400581	4
400489	4
400279	4
401563	4
401874	4
401704	4
400583	4
400885	4
401565	4
401872	4
400585	4
400257	4
400468	4
400747	4
400238	4
300100	4
300024	4
401971	4
401995	4
400375	4
400745	4
400373	4
402121	4
300104	4
300028	4
400371	4
400688	4
401608	4
300004	4
400887	4
400318	4
400788	4
400834	4
400881	4
400064	4
401977	4
400332	4
400883	4
401722	4
401975	4
400193	4
401991	4
400749	4
401973	4
400330	4
400508	4
400704	4
400565	4
400740	4
300106	4
300126	4
400392	4
400237	4
400006	4
400262	4
400467	4
400210	4
400687	4
400422	4
401606	4
400235	4
300122	4
400212	4
300045	4
400525	4
300062	4
401569	4
400272	4
400197	4
300047	4
400588	4
300060	4
300084	4
400787	4
400700	4
300041	4
300183	4
400992	4
400195	4
400706	4
400991	4
400567	4
401996	4
400785	4
400742	4
400359	4
300043	4
400997	4
400871	4
401566	4
400584	4
400079	4
400141	4
300023	4
300068	4
400620	4
400586	4
400441	4
400354	4
400143	4
400875	4
300235	4
300021	4
400434	4
400356	4
400391	4
300027	4
300064	4
400783	4
400649	4
400728	4
400258	4
400647	4
400995	4
401877	4
400100	4
400852	4
400007	4
401564	4
401875	4
400624	4
300048	4
400199	4
400999	4
400445	4
401873	4
400748	4
401972	4
400608	4
400127	4
400146	4
300025	4
400081	4
400469	4
400374	4
401595	4
300009	4
401970	4
401994	4
400372	4
400125	4
400540	4
300087	4
300029	4
400405	4
300089	4
401101	4
400286	4
400640	4
400256	4
400835	4
401690	4
400319	4
400284	4
400109	4
400837	4
401976	4
400142	4
400378	4
400333	4
401974	4
401990	4
401653	4
300042	4
400631	4
400460	4
400005	4
400993	4
400601	4
300001	4
400951	4
400466	4
400642	4
300003	4
400870	4
400464	4
400413	4
300005	4
400782	4
400331	4
300083	4
300044	4
400832	4
300061	4
400337	4
300085	4
400780	4
401001	4
300224	4
300046	4
400008	4
400786	4
400744	4
400335	4
401997	4
300040	4
400743	4
400566	4
401999	4
401533	4
400829	4
400002	4
300069	4
400140	4
401921	4
400621	4
400689	4
401717	4
401923	4
300065	4
400896	4
400526	4
401578	4
401925	4
300088	4
401592	4
400148	4
400646	4
300209	4
401697	4
400224	4
400644	4
300049	4
400226	4
300117	4
401693	4
400281	4
400894	4
401553	4
401594	4
400261	4
400609	4
400547	4
400126	4
400892	4
400597	4
401734	4
400628	4
400713	4
400263	4
400890	4
300227	4
400595	4
300086	4
401100	4
400648	4
400593	4
400731	4
400845	4
300115	4
401021	4
400348	4
400204	4
401572	4
300030	4
401691	4
400847	4
401217	4
400202	4
400285	4
400084	4
400108	4
300032	4
300149	4
400622	4
300206	4
400086	4
400545	4
401558	4
400121	4
400009	4
400380	4
400180	4
400776	4
400984	4
400735	4
400411	4
400645	4
401599	4
400986	4
400243	4
400643	4
400843	4
401969	4
401575	4
300036	4
400454	4
400341	4
300016	4
401576	4
300038	4
401963	4
401218	4
400347	4
401000	4
300014	4
400772	4
300012	4
400362	4
400241	4
400869	4
300018	4
400779	4
300131	4
401868	4
400899	4
401559	4
401922	4
401214	4
401577	4
400228	4
401924	4
401967	4
400456	4
400343	4
400838	4
300148	4
300228	4
400538	4
300055	4
400752	4
401864	4
401616	4
300010	4
400577	4
400179	4
400223	4
400475	4
400964	4
400478	4
300208	4
401614	4
402006	4
400410	4
400306	4
400775	4
400459	4
400416	4
300078	4
400227	4
300153	4
400710	4
400388	4
400260	4
300053	4
400516	4
400537	4
400386	4
300072	4
400793	4
401597	4
400998	4
300051	4
400891	4
400714	4
400594	4
300057	4
400750	4
400324	4
401862	4
400575	4
401593	4
401574	4
400207	4
400349	4
401573	4
401611	4
400559	4
400477	4
400390	4
400846	4
401216	4
300031	4
300074	4
400471	4
401571	4
400264	4
400836	4
300033	4
300076	4
400035	4
400473	4
300118	4
400201	4
300035	4
300070	4
400736	4
400365	4
400110	4
400511	4
400590	4
400181	4
400771	4
400412	4
400320	4
400734	4
400840	4
400367	4
400732	4
401615	4
400987	4
400242	4
400322	4
401993	4
400075	4
400842	4
400209	4
401654	4
401598	4
400981	4
300180	4
400830	4
400730	4
400844	4
300130	4
400158	4
400455	4
400739	4
402122	4
400135	4
300037	4
400453	4
400340	4
300017	4
400708	4
300039	4
400361	4
400346	4
400515	4
300015	4
400698	4
400773	4
401652	4
400344	4
300013	4
300152	4
401700	4
400902	4
400983	4
400778	4
400531	4
400119	4
400051	4
401964	4
300019	4
400057	4
401570	4
400969	4
400013	4
401966	4
400221	4
401612	4
401215	4
400408	4
402110	4
400636	4
400055	4
400989	4
400582	4
400071	4
400480	4
300011	4
400965	4
402109	4
400449	4
400618	4
402001	4
400482	4
400774	4
400639	4
400900	4
300079	4
401174	4
300052	4
401989	4
400536	4
300071	4
400329	4
400517	4
400963	4
300073	4
400794	4
300056	4
401733	4
400130	4
401863	4
400574	4
300054	4
400967	4
400888	4
400558	4
300194	4
401602	4
401992	4
400476	4
401604	4
400611	4
400015	4
300075	4
400099	4
400470	4
400884	4
400690	4
401705	4
300077	4
400472	4
400895	4
400886	4
400156	4
400239	4
401721	4
400321	4
300101	4
400966	4
401117	4
300150	4
400323	4
300059	4
401968	4
300103	4
400573	4
401600	4
400615	4
300105	4
400880	4
400633	4
400882	4
400033	4
400699	4
401723	4
400113	4
