n_s	n_e	n_i	n_r	n_h	n_d	duration
576	0	20	0	0	0	7
568	8	11	6	3	0	7
563	13	8	8	4	0	7
560	16	6	9	5	0	7
559	17	2	13	4	1	7
559	17	2	14	3	1	7
558	18	1	17	1	1	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
NA	NA	NA	NA	NA	NA	7
