n_s	n_e	n_i	n_r	n_h	n_d	duration
576	0	20	0	0	0	6
568	8	13	7	0	0	6
565	11	6	14	0	0	6
565	11	1	18	1	0	6
564	12	1	18	1	0	6
563	13	1	18	1	0	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
NA	NA	NA	NA	NA	NA	6
