n_s	n_e	n_i	n_r	n_h	n_d	duration
576	0	20	0	0	0	20
570	6	11	8	1	0	20
564	12	7	13	0	0	20
562	14	3	17	0	0	20
562	14	3	17	0	0	20
561	15	2	18	0	0	20
557	19	8	18	0	0	20
553	23	9	23	0	0	20
549	27	9	25	0	0	20
548	28	5	28	1	0	20
545	31	3	31	1	0	20
543	33	7	31	1	0	20
542	34	4	38	1	0	20
541	35	6	39	2	0	20
541	35	3	43	2	0	20
541	35	2	46	3	0	20
541	35	2	48	3	0	20
539	37	2	48	4	0	20
538	38	2	50	3	0	20
537	39	1	53	1	0	20
